Face_Id,Time stamp
,
USER.0,17:02:39
USER.1,17:02:39
USER.0,17:02:43
USER.1,17:02:43
USER.0,17:02:47
USER.1,17:02:47
USER.0,17:02:52
USER.1,17:02:52
USER.0,17:02:56
USER.1,17:02:56
USER.0,17:03:00
USER.1,17:03:00
USER.0,17:03:04
USER.1,17:03:04
USER.0,17:03:08
USER.1,17:03:08
USER.0,17:03:13
USER.1,17:03:13
USER.0,17:03:17
USER.1,17:03:17
USER.0,17:03:22
USER.1,17:03:22
USER.0,17:03:26
USER.1,17:03:26
USER.0,17:23:14
USER.0,17:23:16
USER.0,17:23:18
USER.0,17:23:19
USER.0,17:23:21
USER.0,17:23:22
USER.0,17:23:24
USER.0,17:23:25
USER.0,17:23:27
USER.0,17:23:29
USER.0,17:23:30
USER.0,17:23:32
USER.0,17:23:33
USER.0,17:23:35
USER.0,17:23:37
USER.0,17:23:38
USER.0,17:23:39
USER.0,17:23:41
USER.0,17:23:43
USER.0,17:23:44
USER.0,17:23:46
USER.0,17:23:47
USER.0,17:23:49
USER.0,17:23:50
USER.0,17:23:52
USER.0,17:23:53
USER.0,17:23:55
USER.0,17:23:56
USER.0,17:23:58
USER.0,17:23:59
USER.0,18:12:54
USER.1,18:12:54
USER.0,18:13:40
USER.1,18:13:40
USER.0,18:13:43
USER.1,18:13:43
USER.0,18:13:46
USER.1,18:13:46
USER.0,18:13:49
USER.1,18:13:49
USER.0,18:13:52
USER.1,18:13:52
USER.0,18:13:55
USER.1,18:13:55
USER.0,18:13:58
USER.1,18:13:58
USER.0,18:14:01
USER.1,18:14:01
USER.0,18:14:04
USER.1,18:14:04

USER.0,18:16:15
USER.1,18:16:15
USER.0,18:16:18
USER.1,18:16:18
USER.0,18:16:21
USER.1,18:16:21
USER.0,18:16:24
USER.1,18:16:25
USER.0,18:16:28
USER.1,18:16:28
USER.0,18:16:31
USER.1,18:16:31
USER.0,18:16:34
USER.1,18:16:34
USER.0,18:16:37
USER.1,18:16:37
USER.0,18:16:40
USER.1,18:16:40
USER.0,18:43:48
USER.1,18:43:48
USER.0,18:43:51
USER.1,18:43:51
USER.0,18:43:53
USER.1,18:43:53
USER.0,18:43:56
USER.1,18:43:56
USER.0,18:43:58
USER.1,18:43:58
USER.0,18:44:01
USER.1,18:44:01
USER.0,18:44:04
USER.1,18:44:04
USER.0,18:44:06
USER.1,18:44:06
USER.0,18:44:09
USER.1,18:44:09
USER.0,18:44:11
USER.1,18:44:11
USER.0,18:44:14
USER.1,18:44:14
USER.0,18:44:16
USER.1,18:44:16
USER.0,18:44:19
USER.1,18:44:19
USER.0,18:44:22
USER.1,18:44:22
USER.0,18:44:24
USER.1,18:44:24
USER.0,18:44:27
USER.1,18:44:27
USER.0,18:44:29
USER.1,18:44:29
USER.0,18:44:32
USER.1,18:44:32
